,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
218,218,Huaihua,13.80652174,1567.164179,58.71140809,1.164037473,0.271189373,912.835001,135.912187,1.128968028,0,16.45694351,1285.883301,70,5,4,420,43.84220313,31,NA,36
219,219,Shaoyang,9.196273292,2701.492537,33.99200421,1.048700875,0.636514168,776.922814,135.912187,1.169335008,0,17.21944427,1391.75,80,5,2,330,28.26283231,22,NA,18.56666667
220,220,Shaoyang,9.565306122,2373.134328,39.45038252,0.820685079,0,451.872786,0,1.09228576,0,17.33888817,1388.06665,50,5,2,390,34.6494426,22,NA,21.45
221,221,Shaoyang,10.56849315,1626.865672,23.4057196,1.193394926,1.119990356,1000.497442,382.051514,1.263498202,1.920395692,17.14722252,1413.416626,80,2,1,420,17.42760109,20,NA,17.2
222,222,Hengyang,8.9525,2686.567164,45.01270524,1.046705446,0.86605987,908.548539,382.051514,0.906960093,0.794678532,18.33749962,1493.266724,80,1,3,180,26.0103261,15,2,25.35
223,223,Shaoyang,9.729885057,2865.671642,35.07037701,0.623631177,0,451.872786,0,0.506745205,0,17.25972176,1397,80,4,3,320,38.5609335,23,NA,19.4
224,224,Shaoyang,9.349411765,1507.462687,27.14637318,0.544574081,0.693147181,650.100056,135.912187,0.059181706,0,17.13055611,1410.733398,40,4,2,350,15.04926005,22,NA,16.3
225,225,Shaoyang,11.22061856,1477.61194,33.34401825,0.233990145,0,451.872786,0,0.156137954,0,17.41527748,1395.416626,80,3,1,320,31.64915207,25,NA,21.1
226,226,Shaoyang,10.22302632,2611.940299,37.69398642,0.568185603,1.011404265,772.505148,135.912187,0.033992738,0,17.51527786,1426.81665,50,1,1,330,40.73919854,23,NA,21.45
227,227,Hengyang,8.185,910.4477612,28.10794043,0.844936693,0,335.940426,0,0,0,18.66250038,1465.800049,80,0,2,100,2.436958425,8,NA,15.2
228,228,Shaoyang,8.589361702,2179.104478,29.14528762,0.85865524,0.636514168,826.859429,135.912186,0.211509519,0,17.11527824,1461.43335,85,3,2,320,13.04400994,21,NA,16.5
229,229,Hengyang,10.75102041,1104.477612,34.18207544,1.070010714,0.950270539,660.990453,135.912186,0.424717956,0,18.68333435,1449.116699,40,0,0,105,13.8940441,14,NA,19.1
230,230,Shaoyang,8.687022901,3164.179104,24.62368444,0.69276618,0,451.872786,0,0.039464227,0,17.28055573,1407.883301,80,5,1,340,18.0438033,18,NA,14.55
231,231,Shaoyang,9.368604651,2925.373134,33.36276463,0.403126087,0,650.100056,135.912187,0.029080856,0,17.67222214,1396.833374,60,3,2,345,33.29936305,27,NA,16.85
232,232,Hengyang,8.946938776,1850.746269,33.53494095,0.818101185,0,776.922813,135.912186,0.516704517,0,17.98333359,1483.550049,50,1,3,230,16.4662946,11,NA,18.5
233,233,Shaoyang,13.18888889,1402.985075,55.43768711,1.441281411,0.651756561,912.835001,271.824374,1.762374713,1.202398783,17.46527863,1400.833374,80,1,1,270,47.1547283,30,NA,32
234,234,Shaoyang,10.84137931,1462.686567,35.25260377,0.72773176,0,650.100056,135.912187,0.085248517,0,17.57222176,1419.916626,70,3,2,330,17.52351984,28,1,21.4
235,235,Hengyang,10.0300813,3268.656716,24.84708041,0.685527885,0,325.050028,0,0,0,17.55833435,1474.81665,50,1,1,390,25.6776822,17,NA,15.65
236,236,Hengyang,9.82,2223.880597,36.98534925,1.295321045,1.263952661,1021.118531,394.229466,1.127883486,0.989908299,18.66110992,1455.366699,90,0,3,110,20.00225405,23,1,20.9
237,237,Huaihua,10.47934783,2432.835821,43.33641452,1.140522743,1.329661349,922.570203,145.647389,0.975398513,2.322443839,16.75138855,1302.93335,76,2,2,340,23.51277619,11,2,26
238,238,Huaihua,10.13777778,1104.477612,47.512837,1.852008885,1.643612721,1141.417133,492.109027,1.684342993,1.403419496,16.53055573,1352.650024,80,2,3,540,12.92826476,5,NA,20.8
239,239,Shaoyang,11.70206186,1955.223881,37.81485067,0.907462281,1.16828245,920.72649,394.229465,0.482239672,1.240490383,17.57916641,1395.716675,85,3,1,350,37.48735051,26,NA,23.4
240,240,Shaoyang,10.81742424,2582.089552,34.8446283,1.489583922,0.988087807,1047.549248,394.229465,1.571746621,1.022624669,17.19861031,1420.949951,90,5,3,460,38.54184277,26,NA,20.85
241,241,Hengyang,9.585185185,1447.761194,37.47333468,0.908768267,0.450561209,772.505147,258.317278,0.51466991,0.645942091,18.3125,1431.616699,35,0,0,120,12.08572679,18,NA,20.5
242,242,Zhuzhou,9.996261682,1865.671642,28.28080637,1.123267506,0.450561209,784.72469,259.646423,0.478627238,0.789525398,18.48472214,1490.966675,50,1,2,125,23.2372272,20,NA,16.4
243,243,Shaoyang,10.475,746.2686567,29.35264816,1.338258799,0.636514168,945.438032,254.490789,1.462821899,2.041179966,17.26666641,1409.06665,80,2,2,390,9.716294042,23,1,17.5
244,244,Shaoyang,9.213333333,2059.701493,32.87140553,1.643405755,1.434595845,1047.549248,394.229465,1.508094121,0.852126467,17.30555534,1419.016602,65,5,2,380,18.03624731,21,NA,18.35
245,245,Hengyang,10.62790698,2358.208955,40.31703178,0.759052997,0.450561209,783.395545,258.317278,0.237253669,0.645942091,17.76805496,1473.550049,80,1,2,270,40.5649482,18,2,23.75
246,246,Hengyang,10.77831325,2104.477612,32.01357178,1.070478864,0.921493431,772.505147,258.317278,0.723654922,0.82558279,18.39305496,1473.600098,35,1,2,230,23.73528105,19,NA,18.6
247,247,Hengyang,8.975862069,1641.791045,46.11069495,0.919217737,0,650.100055,135.912186,0.90928357,0,18.54722214,1468.483276,10,0,1,140,12.38651241,21,1,19.3
248,248,Shaoyang,11.04175824,1552.238806,40.35822984,0.908809607,0,451.872786,0,1.087085739,0,16.61944389,1435.93335,80,2,1,430,29.08004545,19,NA,24.8
249,249,Shaoyang,7.815447154,2119.402985,20.93380527,0.581419448,0.450561209,650.100056,135.912187,0.197744388,0,16.72500038,1447.266602,80,1,1,470,12.03258202,16,NA,11.35
250,250,Shaoyang,9.704651163,2074.626866,25.26101947,0.258634717,0,325.050028,0,0,0,16.78611183,1447.150024,15,2,3,480,24.65927955,22,NA,16.35
251,251,Shaoyang,12.7112782,2805.970149,37.95687669,0.711894291,0,451.872786,0,0.039765445,0,17.08055496,1426.900024,30,1,2,290,67.42382691,31,NA,26.75
252,252,Hengyang,7.9,1492.537313,24.18027812,0.73783174,0.598269589,786.012242,271.824373,0.556666,1.105479099,18.76249886,1449.849976,45,1,1,80,8.781703191,11,NA,14
253,253,Shaoyang,8.250632911,2373.134328,24.85879711,0.7926846,0,451.872786,0,0.250420522,0,16.47222137,1466.916626,50,2,3,570,9.455739961,18,1,15.5
254,254,Shaoyang,7.445180723,2850.746269,26.52533149,0.626759086,0,451.872786,0,0.376029097,0,16.71527863,1457.716675,60,3,2,560,14.89788651,19,NA,14.35
255,255,Yongzhou,12.54909091,895.5223881,39.62062424,0.286835983,0,325.050028,0,0,0,17.23472214,1426.866699,60,10,5,432,28.12736297,17,NA,28.8
256,256,Hengyang,8.144230769,1149.253731,19.18719,1.648204863,1.267061335,795.704701,258.317278,1.45547374,0.901813888,18.48611069,1421.633301,70,1,1,180,6.918799094,13,1,16.5
257,257,Hengyang,7.953125,1014.925373,13.246855,0.801435682,0,650.100056,135.912187,0.294794418,0,18.51944351,1418.483398,60,3,1,170,3.944863815,10,1,15.9
258,258,Shaoyang,9.296296296,1895.522388,28.26693995,0.618854305,0.950270539,908.417335,394.229466,0.273258298,1.504877541,16.91250038,1447.199951,80,4,4,530,18.92795118,20,NA,16.65
259,259,Shaoyang,9.599319728,2402.985075,28.24763565,0.796585369,0,650.100056,135.912187,0.912681735,0,17.33055496,1417.099976,70,2,2,360,28.01785797,19,NA,17.1
260,260,Yongzhou,10.08813559,1865.671642,30.04084734,0.900667763,1.458319222,1044.975294,403.964667,0.693043479,1.762630888,17.46111107,1433.716675,75,5,2,380,27.25485619,17,NA,22.1
261,261,Shaoyang,9.392982456,1119.402985,25.86579202,0.551079928,0,325.050028,0,0,0,17.37916756,1411.06665,90,2,3,315,10.08898301,19,NA,18
262,262,Zhuzhou,16.81403509,910.4477612,31.96233977,0.78057789,0,650.100055,135.912186,1.304425777,0,18.36111069,1480.349976,80,0,1,130,58.98795632,40,NA,32.3
263,263,Yongzhou,11.23606557,2358.208955,31.44329239,1.064735446,1.435747044,1019.935196,493.438171,1.366474638,1.74588815,18.26527786,1413.216675,50,1,2,322,17.63119842,19,NA,28.4
264,264,Hengyang,13.74090909,1791.044776,46.37972148,1.311631308,0.941699091,896.239383,382.051514,1.774202443,1.612929145,18.29166603,1484.083374,60,1,2,160,47.87552753,33,NA,27.5
265,265,Zhuzhou,12.3047619,1611.940299,52.71934318,0.126930545,0,325.050028,0,0,0,18.19583321,1482.18335,30,3,2,230,65.6135395,18,2,31.7
266,266,Shaoyang,22.27222222,1373.134328,37.72231074,0.577633833,0.693147181,772.505147,258.317278,0.564488124,1.162695763,16.85277748,1411.466675,60,5,2,430,44.62328484,23,NA,36.4
267,267,Shaoyang,12.02666667,1910.447761,53.35591771,0.696728018,0,776.922814,0,0.486884148,0,16.19444466,1494.150024,120,5,3,550,74.05713214,27,2,39.75
268,268,Shaoyang,11.58712871,1686.567164,35.67999931,0.838657648,0,451.872786,0,0.97031713,0,16.62638855,1472.31665,140,4,5,540,36.00286722,27,NA,20.25
269,269,Yongzhou,8.834862385,2388.059701,31.79665234,1.078076128,0,776.922813,135.912186,1.004788239,0,17.54305458,1399.18335,90,1,1,230,17.32122748,18,NA,15.35
270,270,Chenzhou,9.209803922,1970.149254,29.10599899,0.535959889,0,325.050028,0,0,0,18.30277824,1461.733398,70,2,3,210,17.72484677,16,NA,15.66666667
271,271,Shaoyang,14.74680851,1552.238806,29.59698642,0.316548972,0,325.050028,0,0,0,17.29027748,1458.56665,100,3,3,430,64.14078645,31,NA,24.8
272,272,Yongzhou,9.532432432,1268.656716,26.66779948,0.385266964,0,325.050028,0,0,0,18.67222214,1406.483398,60,1,1,130,13.63121494,22,NA,15.3
273,273,Huaihua,10.0079646,2462.686567,46.73104317,1.631508736,1.544846116,1036.512054,394.229464,1.347487296,1.262235594,16.85833359,1372.349976,70,3,3,500,33.66091707,18,NA,27.5
274,274,Shaoyang,16.89130435,1104.477612,34.04123005,0.663264681,0,325.050028,0,0,0,16.31805611,1484.233398,60,3,2,510,49.61419359,20,2,31.8
275,275,Huaihua,10.52356322,3164.179104,61.18901063,1.473167436,1.531444485,1016.014052,251.69775,1.178357591,1.289582423,16.04583359,1381.766724,100,5,3,650,82.45268272,35,NA,38.6
276,276,Huaihua,14.54383562,2686.567164,40.45436461,1.123332225,1.206124156,920.72649,394.229465,1.164151627,1.194492064,16.15416718,1440.483398,85,4,3,570,54.65907673,25,2,29.8
277,277,Chenzhou,8.093333333,3029.850746,29.54287113,0.637646279,0,325.050028,0,0,0,18.46111107,1449.666748,65,1,1,195,16.27826126,13,NA,13.93333333
278,278,Zhuzhou,12.63703704,1283.58209,41.86345815,0.958505155,0,776.922813,135.912186,0.890453122,0,17.29583359,1524.68335,80,1,1,248,28.8517423,21,NA,26.1
279,279,Yongzhou,8.309734513,1850.746269,30.19843288,0.438999754,0,650.100056,135.912187,0.171789875,0,18.36388969,1381.233398,110,1,1,170,14.8961432,19,NA,16.05
280,280,Yongzhou,6.827941176,1701.492537,22.98181967,0.674408727,0,325.050028,0,0,0,18.54305649,1363.68335,10,1,1,140,4.601839265,11,NA,12.2
281,281,Zhuzhou,11.95083333,2029.850746,51.327831,1.154191832,0.862886753,922.055634,395.558609,0.641120383,1.421496634,14.37361145,1703.849976,30,1,1,1270,66.48144585,33,2,38.45
282,282,Huaihua,14.24035088,1582.089552,57.84434839,1.482868747,1.442672618,806.710158,271.824373,1.298760238,0.534997292,16.64166641,1389.916626,80,5,4,550,52.68102279,26,NA,47
283,283,Huaihua,13.57878788,1552.238806,42.93822543,1.311410963,0.474139313,776.922814,135.912187,1.260028888,0,16.50833321,1450.166626,90,4,5,430,41.50560746,18,2,24
284,284,Yongzhou,10.48913043,1865.671642,41.04667084,1.112991279,0.835937364,784.814303,258.317278,0.89815563,0.901813888,18.41944504,1385.599976,110,1,1,140,28.7026587,21,NA,24
285,285,Yongzhou,12.71165049,2029.850746,47.98473062,1.595694467,0.92544675,1035.240093,271.824374,1.757833571,1.223598459,16.54583359,1513.516602,110,1,1,225,57.46569226,24,2,25.55
286,286,Huaihua,10.74375,3343.283582,32.0298881,0.079591358,0.636514168,772.505148,135.912187,0.022560789,0,16.38055611,1433.25,85,3,4,630,63.44259018,16,2,19.73333333
287,287,Yongzhou,9.28372093,2298.507463,35.45488389,0.559314354,0,451.872786,0,0.156528502,0,18.27361107,1409.416626,70,1,1,260,25.61369389,16,NA,22.2
288,288,Chenzhou,9.429710145,2656.716418,33.73718611,1.033717837,0,451.872786,0,1.181757641,0,17.0652771,1508.666748,80,2,3,590,26.6793899,17,NA,18.75
289,289,Chenzhou,9.519230769,1179.104478,27.63968901,0.067887239,0,325.050028,0,0,0,16.05833435,1568.483398,85,2,3,720,14.45644274,18,NA,15.3
290,290,Chenzhou,12.78555556,1552.238806,42.94550159,0.707966517,0.693147181,662.409211,135.912186,0.298335872,0,13.38888931,1756.199951,60,10,4,1420,50.71125159,30,2,29.7
291,291,Shaoyang,18.645,1522.38806,44.41243692,0.641198593,0,451.872786,0,1.010168177,0,15.54861069,1589.93335,75,4,1,800,31.84028911,28,NA,28.5
292,292,Yongzhou,9.978125,2328.358209,29.01030171,1.145209993,1.365368986,1047.549248,394.229465,1.22288257,1.300958142,18.47916794,1406.483398,80,2,1,140,14.14806898,18,NA,18.7
293,293,Yongzhou,9.953061224,1208.955224,27.39049318,1.053763004,0.562335145,912.835001,135.912187,0.918041399,0,18.51111031,1438.616699,60,2,1,170,10.354419,24,1,14.7
294,294,Chenzhou,8.823129252,2597.014925,31.43757751,0.959414548,0.206192051,650.100056,0,0,0,15.96111107,1592.949951,30,1,3,1010,24.14263843,15,NA,18.45
295,295,Chenzhou,9.477777778,1194.029851,34.9603418,0.964326472,0.410116318,761.248064,135.912187,0.873239121,0,18.11944389,1468.716675,100,1,2,330,9.333940934,19,1,17.7
296,296,Yongzhou,8.76741573,1865.671642,31.72967062,1.090449977,0,776.922813,135.912186,1.176921214,0,18.2472229,1463.800049,90,3,1,220,13.83092958,18,NA,16.9
297,297,Chenzhou,9.038931298,2328.358209,33.30659452,0.543970983,0.636514168,786.012243,271.824374,0.147999356,1.163803267,18.51666641,1438.68335,100,2,2,270,23.06001713,18,NA,18.4
298,298,Chenzhou,8.546927374,2716.41791,24.31831616,0.084018247,0,325.050028,0,0,0,18.76666641,1415.583374,90,1,2,230,23.46029554,24,NA,14.2
299,299,Chenzhou,8.646067416,1910.447761,30.05329971,0.689536476,0,650.100056,135.912187,0.167508075,0,18.67777824,1437.166626,80,2,3,290,13.08260982,20,NA,16.4
300,300,Yongzhou,9.929268293,626.8656716,37.40704453,0.335790947,0,451.872786,0,0.13045988,0,17.82777786,1487.450073,30,1,1,570,10.11871424,17,NA,20.4
301,301,Chenzhou,6.9875,940.2985075,20.99750885,0.380613178,0,325.050028,0,0,0,18.83333397,1432.31665,50,1,1,240,0.557074729,5,1,9.8
302,302,Yongzhou,11.46891892,3029.850746,40.94560043,0.824998372,0,462.763184,0,0.157273101,0,18.42222214,1458.56665,110,1,1,320,28.88350802,22,NA,23.2
303,303,Yongzhou,10.38730159,2820.895522,38.78864825,0.920393436,0,776.922814,135.912187,0.60095442,0,17.88611031,1490.43335,60,1,0,450,36.42447818,20,NA,23.5
304,304,Yongzhou,14.02682927,761.1940299,37.27826793,1.266744293,0.673011667,899.327905,258.317278,1.219892547,1.116187933,18.62222099,1459.716675,40,1,2,275,23.99897883,20,NA,22.8
305,305,Chenzhou,5.633333333,373.1343284,9.695265,0.443306691,0,451.872786,0,1.1576848,0,17.4402771,1446.68335,60,1,1,430,0.113137506,6,1,5.8
306,306,Yongzhou,10.5,1537.313433,20.5066219,0.691968472,0,325.050028,0,0,0,18.3069458,1498.133301,55,5,1,249,11.12039739,14,NA,15
307,307,Yongzhou,9.916778523,2388.059701,26.63376928,0.250393518,0,325.050028,0,0,0,18.34722137,1520.349976,60,5,1,270,30.95000532,18,NA,18.35
308,308,Yongzhou,11.01884058,2298.507463,30.40517184,0.687740228,0,325.050028,0,0,0,19.06111145,1479.099976,100,1,1,200,20.58358547,23,NA,20.4
309,309,Yongzhou,10.03815789,1611.940299,31.81061476,1.17145143,0,660.990454,0,0,0,16.95138931,1538.283325,80,15,10,520,17.72523093,13,NA,17.1
310,310,Yongzhou,11.05128205,656.7164179,31.15876661,0.354051139,0,325.050028,0,0,0,12.32222176,1792.950073,90,5,1,198,11.6830761,14,NA,19
311,311,Chenzhou,16.075,611.9402985,18.89909,0.114665282,0,325.050028,0,0,0,18.45138931,1403.18335,65,2,3,400,42.00860034,31,1,27
312,312,Yongzhou,12.42307692,1074.626866,30.28541477,0.799235471,0,451.872786,0,0.253457619,0,19,1518.050049,100,5,0,250,16.04621084,16,NA,18.5
313,313,Yongzhou,12.19677419,895.5223881,32.30021315,0.692591522,0,325.050028,0,0,0,19.14861107,1496.18335,100,6,1,202,12.56118525,18,NA,20.2
314,314,Chenzhou,9.209836066,1417.910448,33.31565112,1.188832113,0.691761499,650.100055,135.912186,1.077356272,0,16.29444504,1529.016602,90,3,4,890,10.98431035,18,NA,19.2
315,315,Yongzhou,5.721875,2970.149254,13.09149073,0.441000726,0,325.050028,0,0,0,19.20416641,1518.583252,100,5,1,201,1.178995916,8,NA,8.1
316,316,Yongzhou,14.55217391,1432.835821,34.67280381,1.017128543,0,650.100055,135.912186,1.681583522,0,19.17916679,1504.333374,120,5,1,200,29.59630625,30,NA,26.4
317,317,Yongzhou,12.09411765,1164.179104,23.43610122,0.645033152,0,325.050028,0,0,0,18.78472328,1498.033325,100,5,1,289,18.08185459,17,NA,18.6
318,318,Chenzhou,10.40892857,1029.850746,32.65207479,0.88664262,0.955699891,778.194776,135.912186,0.131851358,0,18.74027634,1445.099976,85,1,1,380,14.54527176,22,NA,16.2
319,319,Chenzhou,10.8875,1537.313433,45.14754721,1.181037974,0.638911516,786.143447,259.646422,0.540655786,1.57567997,16.39027786,1530.699951,70,1,1,1150,18.80725409,18,NA,30
320,320,Yongzhou,9.655974843,2910.447761,45.50586582,1.011260513,0,776.922813,135.912186,1.013258655,0,14.53750038,1655.016602,60,1,2,1170,38.33373591,20,NA,30.3
321,321,Yongzhou,9.371764706,1701.492537,30.8605041,0.79970609,0,451.872786,0,0.444166404,0,17.34027863,1605.150024,60,2,5,640,15.15852213,13,NA,17.6
322,322,Yongzhou,9.972413793,716.4179104,36.63274125,1.058863941,0,660.990454,0,0,0,18.53750038,1556.016724,50,1,1,350,7.027814069,12,NA,17.6
323,323,Yongzhou,15.81025641,1208.955224,81.45181492,1.357522661,1.092017518,943.406119,306.813158,1.604963452,1.832600497,17.08611107,1541.75,75,2,3,650,81.48777342,39,2,47
324,324,Yongzhou,17.9,2776.119403,35.21769277,0.607175843,0,325.050028,0,0,0,18.15972137,1515.266602,100,2,6,460,70.83906994,27,2,32.4
